Feature,Importance
weaptype1_txt,0.633716922540411
targtype1_txt,0.07221872300270234
nkill,0.06953164549940771
nwound,0.05429672326747556
country_txt,0.05207416129902048
gname,0.04928589562097512
region_txt,0.034983618326729284
success,0.028478018093149142
suicide,0.005414292350129419
